Identifikationsnr|Typ av objekt|Benämning|Material|Namn-Konstnär|Konstnär-KulturNav|Namn-Konstruktör|Konstruktör-KulturNav|Namn-Konstruktör|Namn-Fotograf|Namn-Tillverkare|Namn-Tillverkare|Namn-Tillverkare|Datering-Fotografering|Datering-Produktion|Avbildade namn|Avbildade-KulturNav|Avbildade namn|Avbildade namn|Avbildade - orter|Ämnesord|Beskrivning|Motiv-ämnesord|Motiv-beskrivning|Rättigheter|Samling|Dimukode
OR 2504|Föremål|Ritning|Tuschritning, papper|||Chapman, Fredrik Henrik af||||||||1769-01-28|||||||Tuschritning på tunt gult papper|Handelsfartyg, Snaubrigg|Ritning till snaw-brigg ritad av Fredrik Henrik af Chapman för herr Fredr. Stenhagen, Luleå, 1769. linjeritning|Utgången skyddstid|Sjöhistoriska museet|011024827580
1978:25:22|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1799-10-10|||||||Beskrivningen är daterad 20 mars 1800|Snaubrigg, Segelfartyg|Ritningar till en snaubrigg för 72 mans besättning. Inredning i plan, samt beskrivning över inredning med uppgift om vad alla utrymmen ska användas till|Utgången skyddstid|Sjöhistoriska museet|011024676083
1978:25:19|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1799-10-10|||||||Med rödd och svart tusch. Samtida kopia. Originalet approperat av Gustaf Adolph|Snaubrigg, Segelfartyg|Ritningar till en snaubrigg för 72 mans besättning. Spantruta, konstruktionsritning i plan och profil|Utgången skyddstid|Sjöhistoriska museet|011024676068
1978:25:17|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad||||||||Snaubrigg, Örlogsfartyg, Segelfartyg|Ritningar till en snaubrigg för 72 mans besättning. Tackelritning|Utgången skyddstid|Sjöhistoriska museet|011024676060
1978:25:18|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1799-10-10||||||||Snaubrigg, Segelfartyg|Ritningar till en snaubrigg för 72 mans besättning. Tackelritning|Utgången skyddstid|Sjöhistoriska museet|011024676067
Fo210100|Foto||||||||Okänd fotograf||||||ATLANTIS|||||||Atlantis av Liverpool, Ex Andes, Passagerarfartyg, Passagerarångfartyg, Turist- och passagerarfartyg|Royal Mail Ocean Cruising Steamer "ATLANTIS" (Triple screw 16.000 tons gross)|Utgången skyddstid|Sjöhistoriska museet|011015400714
OB 853|Föremål|Kopparstick|Papper|||||||||||1790 - 1800|||||Kronstadt, Ryssland|Gustav III:s ryska krig, Krig, Sjöslag, Sjöslaget vid Kronstadt, Sjöstrid|Kopparstick uppklistrat på brunt papper|Kronstadt, Ryska flottan, Sjöslag, Sjöstrid, S:t Petersburg, Svenska flottan, Örlogsfartyg|Ryska och svenska flottorna utanför Petersburg. Av texten förstås att svenska flottan ligger närmast i bild och runt befästningen Kronstadt ligger ryska flottan. Längre bort markeras läget för S:t Petersburg. Bilden visar troligen slaget vid Kronstadt|Utgången skyddstid|Sjöhistoriska museet|021025868897
Fo192178|Foto||||||||okänd fotograf/E. A. Sweetman & Son||||||OLYMPIC|||||||E. A. Sweetman & Son, Olympic, Vykort|S.S. 'Olympic.' White Star Line|Utgången skyddstid|Sjöhistoriska museet|011015414476
Fo225132|Foto||||||||Okänd fotograf||||||HYPERION|||||||Passagerarfartyg, Rederivykort, Ångbåt, Ångfartyg|S/S Hyperion Stockholm Rederi A.-B. Svea|Utgången skyddstid|Sjöhistoriska museet|021015735494
1974:386:c|Föremål|Ritning||||Herlin, Tore|||||||||SARDANA VI||||||tusch på väv|10 m ÖR-jakt, Fritidsbåt, Havskryssare|Segel & riggritning till 10 m ÖR-jakt Sardana VI|Erkännande-Dela lika|Sjöhistoriska museet|011024649912
SU 1952:116:c|Föremål|Ritning|Väv|||||||Magnusson, Henry||||1952|FÖRLIG VIND|||||||Galeas, Handelsfartyg|Segel- och inredningsritning till galeasen Förlig Vind|Erkännande-Dela lika|Sjöhistoriska museet|011024849243
SU 1954:188:d|Föremål|Ritning|Väv|||||||Magnusson, Henry||||1954|DON CARLOS|||||||Handelsfartyg, Motorseglare [motorfartyg]|Segel- och inredningsritning till motorseglaren Don Carlos|Erkännande-Dela lika|Sjöhistoriska museet|011024849319
2006:24:1:1|Föremål|Ritning||||||||Elfman, Erik||||1940|BLIXTEN|||||Allmogebåt, Fiske||Allmogebåt, Makrillbåt, Makrill-Garnbåt, Fiskebåt|Segel- och konstruktionsritning till makrillbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024770769
1979:23:36:f|Föremål|Ritning||||Estlander, Gustaf||||||||1932||||||||Fritidsbåt, Mälar 22, Segelbåt|Segel- och rigg handlingar angående 22 kvm entypsjakt för Mälarens Seglarförbund|Utgången skyddstid|Sjöhistoriska museet|011024680574
1968:123|Föremål|Ritning|Väv|||Herlin, Tore|||||||||VALBORG|||||||Fritidsbåt, Skärgårdskryssare 45 kvm, Skärgårdskryssare|Segel- och riggritning till 45 kvm skärgårdskryssaren Valborg|Erkännande-Dela lika|Sjöhistoriska museet|011024643551
1972:122:6:d|Föremål|Ritning|Vaxat papper|||Estlander, Gustaf||||||||Odaterad||||||||Fritidsbåt, Skärgårdskryssare 30 kvm, Skärgårdskryssare|Segel- och riggritning till 30 kvm skärgårdskryssare|Utgången skyddstid|Sjöhistoriska museet|011024645519
1976:25:30|Föremål|Ritning|Papper|||Eklund, Lage|||||||||APRÉS VOUS|||||||Fritidsbåt, Neptunkryssare, Segelbåt|Segel- och riggritning till Neptunkryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024664448
2008:6:17|Föremål|Ritning|Smörpapper|||Estlander, Gustaf||||||||1929-10||||||||Fritidsbåt, Mälar 22, Segelbåt|Segel och riggritning till Mälar 22:a|Utgången skyddstid|Sjöhistoriska museet|011024780137
1974:621:a|Föremål|Ritning||||Salander, Erik||||||||||||||||Fritidsbåt, Skärgårdskryssare 45 kvm, Skärgårdskryssare|Segelplan till 45 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024650959
1996:10:106:3|Föremål|Ritning||||Enderlein, Olle|||||||||BALLERINA|||||||Fritidsbåt, Kustkryssare|Segelplan till kustkryssaren Ballerina|Erkännande-Dela lika|Sjöhistoriska museet|011024755399
1996:10:219:2|Föremål|Ritning||||Enderlein, Olle|||||||||ARTEMIS||BALLERINA|||||Fritidsbåt, Kustkryssare|Segelplan till kustkryssaren Artemis|Erkännande-Dela lika|Sjöhistoriska museet|011024755674
1997:18:8:4|Föremål|Ritning|Papper|||Laurin, Arvid||||||||1928||||||||Fritidsbåt, Skärgårdskryssare 22 kvm, Skärgårdskryssare|Segelplan till 22 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024763336
1996:10:347:23|Föremål|Ritning||||Enderlein, Olle||||||||1971|MISIL II|http://kulturnav.org/44b5e1af-a8e8-4bb3-bcb2-32281ab11169||||||Fritidsbåt, Havskryssare|Segelplan Misil II|Erkännande-Dela lika|Sjöhistoriska museet|011024756184
1985:4:10:a|Föremål|Ritning||||Herlin, Tore||||||||||||||||Entypsbåt, Fritidsbåt|Segelplan till entypsbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024709509
1957:157|Föremål|Ritning|Papper|||Braune, J. G.||||||||1850|||||||Tuschritning på tunt papper, klistrat på annat papper|Brigg, Handelsfartyg|Segelplan till handelsbrigg|Utgången skyddstid|Sjöhistoriska museet|011024640150
2012:6:54:5|Föremål|Ritning|Papper|||Sundén, Tord|http://kulturnav.org/8f828f0c-6e61-4c08-bcec-3f9990919d76|||||||1941-10||||||||Fritidsbåt, Nordisk Folkbåt, Segelbåt|Segelplan till Nordisk folkbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024784590
1980:39:2|Föremål|Ritning|Ritfilm|||||||Luthropp, Conrad||||1980-12||||||||Allmogebåt, Singöjulle, Segelbåt|Segelplan till Singöjulle|Erkännande-Dela lika|Sjöhistoriska museet|011024702804
2008:23:18:2|Föremål|Ritning|Ritfilm|||Eklund, Lage||||||||1951-04||||||||Fritidsbåt, Skärgårdskryssare, Skärgårdskryssare 22 kvm|Segelplan till skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024772840
SU 1952:30:c|Föremål|Ritning|Ritfilm|||||||Magnusson, Henry||||||||||||Allmogebåt, Handelsfartyg, Skötbåt|Segelplan till skötbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024849257
1950:136|Föremål|Ritning||||||||||||1862||||||||Allmogebåt, Blekingeeka, Segelbåt|Segelritning till blekingeeka|Utgången skyddstid|Sjöhistoriska museet|011024639344
1996:10:388:3|Föremål|Ritning|Papperskopia|||Enderlein, Olle||||||||1968-08-02|MISTRESS|http://kulturnav.org/bdfd06c0-4148-40e9-905a-3ffa4bf672bb||||||Fritidsbåt, Halftonner|Segelritning till Mistress|Erkännande-Dela lika|Sjöhistoriska museet|011024756442
1996:10:396:2 II|Föremål|Ritning||||Enderlein, Olle||||||||1978-09-27|OE 36|http://kulturnav.org/7c48a404-fe2d-4ebb-84bd-41b85cd96e07||||||Fritidsbåt, Segelbåt|Segelritning till OE 36|Erkännande-Dela lika|Sjöhistoriska museet|011024756516
1996:10:407:2|Föremål|Ritning||||Enderlein, Olle|||||||||Najad|||||||Fritidsbåt, Långfärdsbåt|Segelritning till långfärdsbåten Najad|Erkännande-Dela lika|Sjöhistoriska museet|011024756563
1996:10:419:2|Föremål|Ritning||||Enderlein, Olle|||||||||Najad 34|||||||Fritidsbåt, Segelbåt|Segelritning till Najad 34|Erkännande-Dela lika|Sjöhistoriska museet|011024756676
1996:10:430:4A|Föremål|Ritning||||Enderlein, Olle||||||||1976-12-02|OE 33|http://kulturnav.org/3b0797eb-9174-4398-93db-f3ea60c1f52a||||||Fritidsbåt, Kustkryssare|Segelritning till OE 33|Erkännande-Dela lika|Sjöhistoriska museet|011024756826
1996:14:42:10a-c|Föremål|Ritning||||Brohäll, Per||||||||1965-10||||||||Fritidsbåt, Vega, Segelbåt|Segelritning till Vega|Erkännande-Dela lika|Sjöhistoriska museet|011024758872
1990:10:931:2|Föremål|Ritning|Smörpapper|||Reimers, Knud H.||||||||1933-03||||||||Fritidsbåt, Skärgårdskryssare 22 kvm, Skärgårdskryssare|Segelritning till 22 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024753087
1979:1:20:3|Föremål|Ritning|Väv|||Thorell, Sven||||||||1947|KOLIBRI|||||||C-kanot, Fritidsbåt, Kanot|Segelritning till c-kanot|Erkännande-Dela lika|Sjöhistoriska museet|011024677493
1996:10:444:9|Föremål|Ritning||||Enderlein, Olle|||||||||Delta 38|||||||Fritidsbåt, Segelbåt|Segelritning Delta 38|Erkännande-Dela lika|Sjöhistoriska museet|011024756989
1990:10:560:3|Föremål|Ritning||||Reimers, Knud H.||||||||1933-08||||||||Fritidsbåt, Onedesign, Segelbåt|Segelritning Onedesign av Knud Reimers|Erkännande-Dela lika|Sjöhistoriska museet|011024745702
1990:10:132:3|Föremål|Ritning||||Reimers, Knud H.||||||||1964-10-20|BACCHANT IV|||||||Fritidsbåt, Havskryssare|Segelritning till Bacchant IV|Erkännande-Dela lika|Sjöhistoriska museet|011024734281
2008:25:14:2|Föremål|Ritning|Smörpapper|||Becker, Harry|http://kulturnav.org/95422319-5523-400d-976e-a28f49ee5d6f|Becker, Jan||||||1973-11|Becker 27|http://kulturnav.org/5eec015c-501b-40b2-bf77-46535e043bc7||||||Fritidsbåt, Segelbåt|Segelritning till Becker 27|Erkännande-Dela lika|Sjöhistoriska museet|011024774105
SU 1951:56:c|Föremål|Ritning||||||||Magnusson, Henry||||1951||||||||Allmogebåt, Blekingeeka, Segelbåt|Segelritning till blekingseka|Erkännande-Dela lika|Sjöhistoriska museet|011024849221
1996:14:192:1|Föremål|Ritning||||Lawner, Pelle||||||||1956-09|E-Lita|||||||E-kanot, Fritidsbåt, Kanot|Segelritning till E-kanot|Erkännande-Dela lika|Sjöhistoriska museet|011024758326
SU 1965:34:3|Föremål|Ritning|Väv|||||||Gustafsson, Axel||||1965||||||||Fiskebåt, Segelbåt|Segelritning till fiskebåt|Erkännande-Dela lika|Sjöhistoriska museet|011024849347
1988:9:2065:2|Föremål|Ritning|Ritfilm|||Iversen, Jac M|http://kulturnav.org/3aee21ed-e6db-4d9e-90bb-5e9a01375d44|||||||1938-11-17||||||||Fritidsbåt, Havskryssare|Segelritning till havskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024716125
SU 1951:59:c|Föremål|Ritning||||||||Magnusson, Henry||||1951||||||||Allmogebåt, Metöka, Segelbåt|Segelritning till metöka|Erkännande-Dela lika|Sjöhistoriska museet|011024849238
1976:25:29:c|Föremål|Ritning|Ritpapper|||Laurin, Arvid|||||||||ANNA II|||||||Fritidsbåt, Nordisk kryssare|Segelritning till nordisk kryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024664426
1987:11:20:B|Föremål|Ritning||||||||||||||||||||Internationell R-jakt, Skolfartyg, Fritidsbåt|Segelritning till r-jakt|Erkännande-Dela lika|Sjöhistoriska museet|011024710214
1979:6:2|Föremål|Ritning|Ritfilm|||||||||||1979-03||||||||Allmogebåt, Singöjulle, Segelbåt|Segelritning till Singöjulle|Erkännande-Dela lika|Sjöhistoriska museet|011024687466
SU 1951:57:c|Föremål|Ritning||||||||Magnusson, Henry||||1951||||||||Allmogebåt, Snipa, Segelbåt|Segelritning till snipa|Erkännande-Dela lika|Sjöhistoriska museet|011024849227
SU 1951:58:c|Föremål|Ritning||||||||Magnusson, Henry||||1951||||||||Allmogebåt, Torsköka, Segelbåt|Segelritning till torsköka|Erkännande-Dela lika|Sjöhistoriska museet|011024849233
1975:1402:b|Föremål|Ritning|Ritfilm|||||||Pettersson, Stig S.|Sjögren, Folke|||1974|GRETA-LINNEA från Blidö|||||||Allmogebåt, Vedjakt, Lastfartyg|Segelritning till vedjakt|Erkännande-Dela lika|Sjöhistoriska museet|011024657690
1996:14:127:2|Föremål|Ritning|Ritfilm|||Seldén, Johan Harald|http://kulturnav.org/9549857b-9372-41bb-b42f-1661e8200e3b|||||||1880 - 1884||||||||Allmogebåt, Västkustbåt, Segelbåt|Segelritning till Västkustbåt|Utgången skyddstid|Sjöhistoriska museet|011024757775
1996:14:20:8|Föremål|Ritning||||Brohäll, Per||||||||1959-01-05|TRISS|||||||Fritidsbåt, Rodd-, Segelbåt med utombordsmotor|Segelritning Trissjolle|Erkännande-Dela lika|Sjöhistoriska museet|011024758465
2007:006:43|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Amorin, Djur, Dromedar, Elefant, Fana, Orm, Segelfartyg, Tunna, Ymnighetshorn, Ödla|Sjökort över Ceylon. Runt kartusch i nedre högra hörnet syns flera människor. På var sin sida står män i orientaliska kläder med turban, tjänare håller parasoller över deras huvud. Överst finns kvinna med ymnighetshorn. Dessutom kistor och tunnor, samt flera djur. Segelfartyg syns i havet kring ön och mitt på ön en elefant samt män som jagar med pil och båge|Utgången skyddstid|Sjöhistoriska museet|021025735168
2007:006:25|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Handel, Navigation, Slaveri, Slavhandel|Handkolorerat kopparstick|Barn, Handelsvara, Klädedräkt, Slav|Sjökort över Egeiska havet. Grekland, Turkiet (Anatolien) och Kreta (Candia) syns. Runt kartusch i övre vänstra hörnet syns man i turban som tittar på flera fängslade människor (barn och kvinnor). En man med bar överkropp förs fram av ytterligare en man i turban. Ska föreställa slavhandel? I högra, nedre hörnet syns flera män som visar upp varor och handlar med varandra. Tre i västerländska kläder och två i orientaliska|Utgången skyddstid|Sjöhistoriska museet|021025734408
2007:006:12|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Amorin, Faun, Ymnighetshorn|Sjökort över Engelska kanalen. Södra delen av England och Wales samt norra Frankrike (Bretagne och Normandie) och Belgien. I nedre högra hörnet syns ymnighetshorn, faun och kvinnogestalt med kransar i håret och bärande vindruvor och frukter. Får och bevingade amoriner. På kartan syns dessutom Engelska och Franska riksvapnen|Utgången skyddstid|Sjöhistoriska museet|021025729327
2007:006:42|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Elefant, Get, Häst, Man, Orm, Ostindien, Parasoll, Sabel, Segelfartyg, Sköld, Spjut, Turban|Sjökort över Indiska Oceanen. Afrikas östkust, Arabiska halvön, Indien, Sydostasien, samt delar av Australien avbildas. Runt kartusch i övre högra hörnet visas flera olika scener. Längst till vänster tre män i orientaliska kläder som sträcker ut händerna. Kanske för att visa att de kommer med fredliga avsikter. Någon håller upp ett parasoll över dem. I bakgrunden siluetter av män med spjut. Sedan avbildas en mungo som slåss mot en orm och ytterligare några djur. En mörk man med turban och kroksabel har just huggit huvudet av en annan man. Bakom syns afrikaner som bär en man i bärstol. Två ryttare till häst med dragna sablar, iförda rustning och turbaner och en tjänare framför dem. Längst till höger två män som försöker fånga något som kan vara en struts. På själva sjökortet avbildas flera segelfartyg|Utgången skyddstid|Sjöhistoriska museet|021025735158
2007:006:24|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Amorin, Karta, Svärd, Turban|Sjökort över Medelhavet. Kortet är delat i två delar så i den övre delen ser man Medelhavet från Gibraltar till Italien. I den nedre halvan syns del av Italien till Syrien. Runt kartusch i nedre vänstra hörnet syns amoriner som pekar på sjökort. I högra, nedre hörnet fyra män iförda orientalisk klädedräkt sittande på stenpodium, nedanför dem syns två fängslade vid stenen en man och en kvinna. Bredvid dem en hacka, tunna och balar med varor|Utgången skyddstid|Sjöhistoriska museet|021025734406
2007:006:11|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Djur, Fågel, Isbjörn, Pilbåge|Sjökort över Nordamerika. På kortet visas Grönland, James Isle, Baffin Bay, Nova Britannia och Nova Francia. I nedre vänstra hörnet syns en man med fjädrar som troligen ska föreställa en nordamerikansk indian som öppnar en låda tillsammans med en annan man klädd i röd mössa och blå dräkt. Två andra män samtalar med varandra. I övre högra hörnet syns en man i pälskläder spänna en båge mot en isbjörn med tre ungar|Utgången skyddstid|Sjöhistoriska museet|021025729324
2007:006:3|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Ekorre, Get, Räv, Smed, Stadsvapen, Yxa|Sjökort över Nordsjön. Kortet är orienterat med väster uppåt. Man ser delar av Skottland, England, Holland, Danmark, Sverige och Norge. Brittiska och norska stadsvapnen finns avbildade och i nedre högra hörnet avbildas en man med yxa, getter, ekorrar och en räv samt i bakgrunden granar|Utgången skyddstid|Sjöhistoriska museet|021025729249
O 08132|Föremål|Sjöstrid|Ekpannå|Van der Velde, Jan|||||Okänd fotograf|||||1600-talet||||||Femern 1644, Sjöstrid|Ungefär samtida oljemålning av okänd konstnär, med holländskt kopparstick (av C.I. Visscher) som förlaga|1600-tal, Danska flaggan, Danska flottan, Danskflaggad, Femern 1644, Sjöstrid, Stridsfartyg, Flagga, Svensk örlog, Svenska flaggan, Svenska örlogsfartyg, Örlogsfartyg|Sjöslaget vid Femernbält 1644. I förgrunden Smålands Lejon, som söker lägga ombord med danska Patientia, medan tätt intill en brännare sätter eld på danska Lindormen|Utgången skyddstid|Sjöhistoriska museet|011024825505
OR 2989:3|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1797-12-04||||||||Örlogsfartyg|Skala till fotmått för ankare|Utgången skyddstid|Sjöhistoriska museet|011024828339
S 4955|Föremål|Porträtt|Elfenben||||||Karlsson, Anneli||||||Chapman, Fredrik Henrik af|http://kulturnav.org/e915f1d8-fcff-43bc-9387-94e75b204d5d||||Miniatyrporträtt, Porträtt, Skeppsbyggmästare|Porträtt i miniatyr på elfenben. Ram: Svart|Af Chapman, Orden, Porträtt, Serafimerorden, Skeppsbyggare, Skeppsbyggmästare|Skeppsbyggmästaren och varvsamiralen Fr. H. af Chapman iförd uniform med ordnar. Chapman f. 9/9 1721 d. 19/8 1808. Porträttet är målat då Chapman var 87 år|Erkännande-Dela lika|Sjöhistoriska museet|021025899359
O 11948|Föremål|Porträtt|Gråpapper, glas|Cedergren, Per Wilhelm|||||Jonson, Johan||||||Cedergren, Per Wilhelm|||||Skeppsgosse|Pastell under glas på gråpapper|1830-tal, Hatt, Porträtt, Skeppsgosse, Uniform|Skeppsgosse (No 28 P.V. Cedergren f. 1823, antagen 1832). Vit uniform, högerknäppt, ståndkrage och gula knappar. Svart hög hatt. Text: Denna pojke är ej rädd att gå ut i alla väder änskönt han är illa klädd uti hatt och blaggarnskläder. Tvungen nu att stiga på så han ej ihjäl må frysa. Han på kyrkparad skall gå och i uniformen lysa|Utgången skyddstid|Sjöhistoriska museet|011024826694
Fo195581|Foto||||||||Karlsson, Karl Emil||||||GLADAN|||||||Gladan, Skeppsgossebrigg, Vykort, Skolfartyg|Skeppsgossebriggen Gladan|Utgången skyddstid|Sjöhistoriska museet|021015514217
OR 2616|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1777-08-24|AMPHION||||||Laverad tuschritning|Turroma fartyg, Turuma, Örlogsfartyg|Skiss, sidoritning med ornament till "Turroma fartyg"|Utgången skyddstid|Sjöhistoriska museet|011024827824
OR 2455|Föremål|Ritning|Blyerts|||Chapman, Fredrik Henrik af|||||||||Le LIS||Le DRAGON|||||Örlogsfartyg, Segelfartyg|Skiss, spantrutor|Utgången skyddstid|Sjöhistoriska museet|011024827460
1994:001:5|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad|||||||blyerts|Mansfigur, Örlogsfartyg, Akterspegel, Förstäv, Galjonsfigur|Skiss; förstäv med ornamentering samt aktersepegel|Utgången skyddstid|Sjöhistoriska museet|011024755011
1-351|Foto||||||||Okänd fotograf||||1958||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Akter, Glycerin,, Peg,, Polyglykol, Skulptur|Skulpturer från aktern penslas med glycerin, som användes som konserveringsmedel innan polyglykolmetoden (PEG) hade utvecklats|Utgången skyddstid|Vasamuseet|011014850082
OR 264|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||Odaterad|FLEURON||||||tuschteckning med färg|Akterspegel, Galjonsfigur, Örlogsfartyg|Skulpturutsmyckning, galleri, förskepp och häck|Utgången skyddstid|Sjöhistoriska museet|011024827891
Fo179085_01DIG|Foto||||||||Karlsson, Anneli||||2008||||||Söder Mälarstrand, Stockholm|||Musslor, Rostat järn, Sopor, Söder Mälarstrand, Vrakgods|Sopor plockade ur vattnet längs Söder Mälarstrand|Erkännande-Dela lika|Sjöhistoriska museet|021015505804
OR 2731:1|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1777-09-03|WASA|||||||60 kanoners skepp, Örlogsfartyg|Spantritning och tvärsektioner till 60 kanoners skepp|Utgången skyddstid|Sjöhistoriska museet|011024828026
OR 2720:2|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1804-12||||||||40 kanoners fregatt, Örlogsfartyg|Spantritning till 40 kanoners skepp|Utgången skyddstid|Sjöhistoriska museet|011024828013
OR 2382:1|Föremål|Ritning|tuschritning, uppfodrad på kartong|Chapman, Fredrik Henrik af||||||||||1754|VICTORY|||||||112 kanoners skepp, Örlogsfartyg|Spantruta med akterspegelsornament, konstruktionsritning i profil också med ornament och galjonsfigur|Utgången skyddstid|Sjöhistoriska museet|011024827286
2012:6:54:1|Föremål|Ritning|Papper|||Sundén, Tord||||||||1941-09|||||||Tunt ritpapper|Fritidsbåt, Nordisk Folkbåt|Spantruta och linjeritning till Nordisk folkbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024784581
1980:39:1|Föremål|Ritning|Ritfilm|||||||Luthropp, Conrad||||1980-12||||||||Allmogebåt, Singöjulle, Segelbåt|Spantruta och linjeritning till Singöjulle|Erkännande-Dela lika|Sjöhistoriska museet|011024702794
1990:10:560:2|Föremål|Ritning||||Reimers, Knud H.||||||||1933-11||||||||Fritidsbåt, Onedesign, Segelbåt|Spantruta Onedesign av Knud Reimers|Erkännande-Dela lika|Sjöhistoriska museet|011024745698
1990:10:931:1|Föremål|Ritning|Papperskopia|||Reimers, Knud H.||||||||1933||||||||Fritidsbåt, Skärgårdskryssare 22 kvm, Skärgårdskryssare|Spantruta till 22 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024753082
1979:23:36:b|Föremål|Ritning||||Estlander, Gustaf||||||||1932||||||||Fritidsbåt, Mälar 22, Segelbåt|Spantruta till Mälar 22:a|Utgången skyddstid|Sjöhistoriska museet|011024680558
1977:201:1|Föremål|Ritning|Papper|||Eklund, Lage||||||||||||||||Fritidsbåt, Mälar 30, Segelbåt|Spantruta till Mälar 30:a|Erkännande-Dela lika|Sjöhistoriska museet|011024669335
1974:1031-1033:1032|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||Neuendorff, Joachim||||||1774|VASAORDEN|http://kulturnav.org/1333a76d-1b5b-4c83-90ec-7b1aadfb1519|||||Originalritning i tusch, färglagd|Kunglig slup, Örlogsfartyg, Slup|Spantruta, för- och akterstäv till Vasaorden|Utgången skyddstid|Sjöhistoriska museet|011024649030
1997:18:8:1|Föremål|Ritning|Papper|||Laurin, Arvid||||||||1928||||||||Fritidsbåt, Skärgårdskryssare 22 kvm, Skärgårdskryssare|Spantruta, linjeritning och profil till 22 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024763329
1968:452|Föremål|Ritning|Väv|||Pihlgren, Johan||||||||Odaterad||||||||Allmogebåt, Roslagsskuta, Rospigg, Sandkil, Handelsfartyg|Spantruta, linjeritning, plan, profil och sektion till Roslagsskuta|Erkännande-Dela lika|Sjöhistoriska museet|011024643999
OR 1917|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||||||||VASAORDEN|http://kulturnav.org/1333a76d-1b5b-4c83-90ec-7b1aadfb1519||||||Slup, Örlogsfartyg, Kunglig slup|Spantruta, linjeritning, profil till Vasaorden|Utgången skyddstid|Sjöhistoriska museet|011024826917
1975:1402:a|Föremål|Ritning|Ritfilm|||||||Pettersson, Stig S.|Sjögren, Folke|||1974-11|GRETA-LINNEA från Blidö|||||||Allmogebåt, Vedjakt, Handelsfartyg|Spantruta, linjeritning, profilritning, däcksplan till vedjakt|Erkännande-Dela lika|Sjöhistoriska museet|011024657687
1974:621:c|Föremål|Ritning||||Salander, Erik||||||||||||||||Fritidsbåt, Skärgårdskryssare 45 kvm, Skärgårdskryssare|Spantruta, utslagsritning till 45 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024650976
SB 1495:2|Föremål|Akvarell|Papper|Middleship, Edward Archibald||||||||||Odaterad|||||Gustavia, Saint-Barthélemy|Koloni|akvarell|Flagga, Fort, Natur|Saint Barthélemy, Fortet Gustaf med staden Gustavia i bakgrunden|Utgången skyddstid|Sjöhistoriska museet|011024830852
Fo200545|Foto||||||||Okänd fotograf||||1910||BRUNNSVIKEN||||Brunnsviken, Stockholm|||Brunnsviken, Hamn, Handkolorerat, Stallmästargården, Vykort, Ångslup|Stallmästargården. Vykort, daterat 1910|Utgången skyddstid|Sjöhistoriska museet|011015435598
